Country;Region;HPI Rank;Average Life Expectancy;Footprint (gha/capita);Inequality of Outcomes;Inequality of Outcomes;Inequality-adjusted Life Expectancy;Population
Liberia;Sub Saharan Africa;96;60,229;1,21;0,383681351;0,383681351;40,29548882;4190155
Lithuania;Post-communist;107;72,804;5,83;0,112707659;0,112707659;68,82361436;2987773
Luxembourg;Europe;139;81,111;15,82;0,067837363;0,067837363;78,97029422;530946
Macedonia;Post-communist;90;75,067;3,26;0,180863999;0,180863999;69,38472611;2069270
Malawi;Sub Saharan Africa;98;60,122;0,81;0,44538135;0,44538135;40,43996663;15700436
Malaysia;Asia Pacific;46;74,428;3,71;0,101843107;0,101843107;69,45324535;29021940
Malta;Europe;53;80,223;4,364956282;0,126316236;0,126316236;76,61915744;419455
Mauritania;Sub Saharan Africa;117;62,602;2,54;0,367299244;0,367299244;41,51752862;3777067
Mauritius;Sub Saharan Africa;63;73,965;3,46;0,165261924;0,165261924;66,74024229;1255882
Mexico;Americas;2;76,411;2,89;0,187698991;0,187698991;66,31196541;122070963
Mongolia;Asia Pacific;136;68,57;6,08;0,219085938;0,219085938;56,87023339;2808339
Montenegro;Post-communist;78;75,773;3,78;0,155863254;0,155863254;71,82879279;620601
Morocco;Middle East and North Africa;33;73,389;1,68;0,245999024;0,245999024;61,62909304;32984190
Mozambique;Sub Saharan Africa;88;54,321;0,87;0,426986539;0,426986539;34,54466273;25732928
Myanmar;Asia Pacific;81;65,501;1,43;0,32273774;0,32273774;48,44849296;52543841
Namibia;Sub Saharan Africa;103;64,014;2,48;0,262979134;0,262979134;50,09922755;2291645
Nepal;Asia Pacific;42;68,824;0,98;0,271445223;0,271445223;55,3086837;27500515
Netherlands;Europe;18;81,212;5,28;0,043220701;0,043220701;78,18060001;16754962
New Zealand;Asia Pacific;38;81,417;5,6;0,08078593;0,08078593;77,68578317;4408100
Nicaragua;Americas;7;74,322;1,39;0,247174207;0,247174207;63,43924629;5877034
Niger;Sub Saharan Africa;122;60,046;1,56;0,397602135;0,397602135;38,87857831;17635782
Nigeria;Sub Saharan Africa;95;52,112;1,16;0,442310737;0,442310737;30,85361079;168240403
