# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FXX      = Hoogste windstoot (in 0.1 m/s);
#
# STN,YYYYMMDD,  FXX
#
  240,20090119,  220
  240,20090120,  110
  240,20090121,  100
  240,20090122,  170
  240,20090123,  190
  240,20090124,   90
  240,20090125,  140
  240,20090126,   80
  240,20090127,   60
  240,20090128,   70
  240,20090129,   60
  240,20090130,   90
  240,20090131,  150
  240,20090201,  160
  240,20090202,  150
  240,20090203,   80
  240,20090204,   40
  240,20090205,   80
  240,20090206,   90
  240,20090207,   90
  240,20090208,  100
  240,20090209,  120
  240,20090210,  170
  240,20090211,  150
  240,20090212,  110
  240,20090213,  100
  240,20090214,   60
  240,20090215,  110
  240,20090216,  120
  240,20090217,  120
  240,20090218,   60
  240,20090219,   80
  240,20090220,  110
  240,20090221,  100
  240,20090222,  110
  240,20090223,  120
  240,20090224,   80
  240,20090225,  130
  240,20090226,  140
  240,20090227,  110
  240,20090228,   70
  240,20090301,   90
  240,20090302,   90
  240,20090303,  140
  240,20090304,  160
  240,20090305,  110
  240,20090306,  140
  240,20090307,  120
  240,20090308,  220
  240,20090309,  180
  240,20090310,  110
  240,20090311,   90
  240,20090312,  150
  240,20090313,   80
  240,20090314,  110
  240,20090315,  120
  240,20090316,   70
  240,20090317,   90
  240,20090318,   50
  240,20090319,  100
  240,20090320,   90
  240,20090321,   90
  240,20090322,  140
  240,20090323,  210
  240,20090324,  210
  240,20090325,  160
  240,20090326,  200
  240,20090327,  170
  240,20090328,  110
  240,20090329,  100
  240,20090330,   80
  240,20090331,   80
  240,20090401,  120
  240,20090402,  130
  240,20090403,   80
  240,20090404,  140
  240,20090405,   70
  240,20090406,   80
  240,20090407,  120
  240,20090408,  160
  240,20090409,   80
  240,20090410,  130
  240,20090411,  100
  240,20090412,  110
  240,20090413,   70
  240,20090414,   80
  240,20090415,  100
  240,20090416,   90
  240,20090417,  130
  240,20090418,  140
  240,20090419,   90
  240,20090420,  110
  240,20090421,   90
  240,20090422,  110
  240,20090423,   60
  240,20090424,  120
  240,20090425,  120
  240,20090426,   70
  240,20090427,  170
  240,20090428,   60
  240,20090429,   60
  240,20090430,   80
  240,20090501,   90
  240,20090502,   90
  240,20090503,  130
  240,20090504,  120
  240,20090505,  160
  240,20090506,  150
  240,20090507,  150
  240,20090508,  210
  240,20090509,   90
  240,20090510,  120
  240,20090511,  160
  240,20090512,  160
  240,20090513,  130
  240,20090514,  110
  240,20090515,  110
  240,20090516,  130
  240,20090517,  130
  240,20090518,  130
  240,20090519,  110
  240,20090520,   90
  240,20090521,  110
  240,20090522,  120
  240,20090523,   70
  240,20090524,   80
  240,20090525,  190
  240,20090526,  290
  240,20090527,  160
  240,20090528,  130
  240,20090529,  110
  240,20090530,  120
  240,20090531,  120
  240,20090601,  130
  240,20090602,  110
  240,20090603,  120
  240,20090604,  130
  240,20090605,   80
  240,20090606,  120
  240,20090607,   90
  240,20090608,   90
  240,20090609,  160
  240,20090610,  100
  240,20090611,  110
  240,20090612,  120
  240,20090613,  100
  240,20090614,   90
  240,20090615,   90
  240,20090616,  120
  240,20090617,  120
  240,20090618,  150
  240,20090619,  150
  240,20090620,  120
  240,20090621,  120
  240,20090622,   90
  240,20090623,  110
  240,20090624,  130
  240,20090625,  110
  240,20090626,  100
  240,20090627,   60
  240,20090628,   70
  240,20090629,   90
  240,20090630,   90
  240,20090701,  110
  240,20090702,  100
  240,20090703,  140
  240,20090704,   80
  240,20090705,   90
  240,20090706,  150
  240,20090707,  150
  240,20090708,  170
  240,20090709,  120
  240,20090710,  160
  240,20090711,  110
  240,20090712,  120
  240,20090713,  100
  240,20090714,   80
  240,20090715,  150
  240,20090716,  100
  240,20090717,  140
  240,20090718,  170
  240,20090719,  180
  240,20090720,  130
  240,20090721,  140
  240,20090722,  120
  240,20090723,  100
  240,20090724,  160
  240,20090725,  120
  240,20090726,  110
  240,20090727,  130
  240,20090728,  110
  240,20090729,  100
  240,20090730,  170
  240,20090731,   70
  240,20090801,  100
  240,20090802,  100
  240,20090803,   80
  240,20090804,  140
  240,20090805,   70
  240,20090806,   80
  240,20090807,  100
  240,20090808,  100
  240,20090809,   70
  240,20090810,  100
  240,20090811,   90
  240,20090812,  100
  240,20090813,   90
  240,20090814,   80
  240,20090815,  140
  240,20090816,  120
  240,20090817,  110
  240,20090818,   70
  240,20090819,   90
  240,20090820,  160
  240,20090821,  130
  240,20090822,  110
  240,20090823,  110
  240,20090824,  110
  240,20090825,   90
  240,20090826,  140
  240,20090827,  120
  240,20090828,  200
  240,20090829,  140
  240,20090830,  130
  240,20090831,   90
  240,20090901,  140
  240,20090902,  140
  240,20090903,  220
  240,20090904,  190
  240,20090905,  150
  240,20090906,  120
  240,20090907,  100
  240,20090908,   80
  240,20090909,  100
  240,20090910,  130
  240,20090911,  100
  240,20090912,   90
  240,20090913,  120
  240,20090914,  150
  240,20090915,  130
  240,20090916,  150
  240,20090917,  110
  240,20090918,   70
  240,20090919,   50
  240,20090920,   80
  240,20090921,   70
  240,20090922,  130
  240,20090923,  110
  240,20090924,   90
  240,20090925,   80
  240,20090926,   50
  240,20090927,   70
  240,20090928,  100
  240,20090929,  100
  240,20090930,   90
  240,20091001,  120
  240,20091002,  120
  240,20091003,  250
  240,20091004,  150
  240,20091005,   80
  240,20091006,  140
  240,20091007,  150
  240,20091008,  100
  240,20091009,  130
  240,20091010,  120
  240,20091011,  160
  240,20091012,  170
  240,20091013,   90
  240,20091014,   80
  240,20091015,  110
  240,20091016,  200
  240,20091017,  120
  240,20091018,   80
  240,20091019,  110
  240,20091020,  120
  240,20091021,  110
  240,20091022,   80
  240,20091023,   60
  240,20091024,  120
  240,20091025,  160
  240,20091026,  150
  240,20091027,   60
  240,20091028,   70
  240,20091029,   40
  240,20091030,   80
  240,20091031,   90
  240,20091101,  160
  240,20091102,  100
  240,20091103,  170
  240,20091104,  100
  240,20091105,  130
  240,20091106,  120
  240,20091107,  150
  240,20091108,   90
  240,20091109,   80
  240,20091110,   90
  240,20091111,  100
  240,20091112,  110
  240,20091113,  150
  240,20091114,  200
  240,20091115,  150
  240,20091116,  200
  240,20091117,  130
  240,20091118,  250
  240,20091119,  140
  240,20091120,  130
  240,20091121,  120
  240,20091122,  250
  240,20091123,  240
  240,20091124,  190
  240,20091125,  190
  240,20091126,  190
  240,20091127,  180
  240,20091128,  150
  240,20091129,  140
  240,20091130,  100
  240,20091201,   70
  240,20091202,  130
  240,20091203,  110
  240,20091204,  110
  240,20091205,  120
  240,20091206,  150
  240,20091207,  110
  240,20091208,  100
  240,20091209,   90
  240,20091210,  150
  240,20091211,  120
  240,20091212,  130
  240,20091213,   90
  240,20091214,   60
  240,20091215,   50
  240,20091216,  100
  240,20091217,  120
  240,20091218,  110
  240,20091219,  130
  240,20091220,  160
  240,20091221,  110
  240,20091222,  120
  240,20091223,  110
  240,20091224,   80
  240,20091225,  160
  240,20091226,  110
  240,20091227,  160
  240,20091228,  130
  240,20091229,  100
  240,20091230,  140
  240,20091231,  160
  240,20100101,  130
  240,20100102,  120
  240,20100103,  120
  240,20100104,   90
  240,20100105,   80
  240,20100106,   80
  240,20100107,   70
  240,20100108,  120
  240,20100109,  180
  240,20100110,  150
  240,20100111,  100
  240,20100112,  120
  240,20100113,  100
  240,20100114,   60
  240,20100115,   80
  240,20100116,  130
  240,20100117,  120
  240,20100118,   90
  240,20100119,   80
  240,20100120,  100
  240,20100121,   80
  240,20100122,  100
  240,20100123,   70
  240,20100124,   50
  240,20100125,  110
  240,20100126,   80
  240,20100127,  150
  240,20100128,  140
  240,20100129,  130
  240,20100130,  150
  240,20100131,  100
  240,20100201,  120
  240,20100202,  150
  240,20100203,  120
  240,20100204,  110
  240,20100205,  100
  240,20100206,   80
  240,20100207,   80
  240,20100208,  110
  240,20100209,  110
  240,20100210,  150
  240,20100211,  150
  240,20100212,  120
  240,20100213,  110
  240,20100214,   70
  240,20100215,   70
  240,20100216,  130
  240,20100217,   70
  240,20100218,  100
  240,20100219,  170
  240,20100220,  130
  240,20100221,  110
  240,20100222,  130
  240,20100223,  120
  240,20100224,   90
  240,20100225,  130
  240,20100226,  210
